text,predicted_emotion
wan na go traverse city,negative
bout get scratch hope win money hand keeps itching,negative
oh please like gag null reference,negative
little girls swim suit,positive
girl sleepy goodnight,positive
yikes blue pen baliey martinson gwe cry days cant see greenwood staff summer,negative
lying bed thinking hmm,positive
rock hacked current issue page drupal created pg w php code get max year amp month issues redirect pg,negative
awwwwrrrr idea supportinggg,positive
wattup u friend,positive
packing aother two night trip,negative
aww way realli wanted u follow well maybe next tym,positive
sat break hot outside cant anything fun though,negative
glad could help,positive
rooting really thought hed time,negative
mmm interesting cant take image head thank,positive
want maccas haha yeh def could different meaning,positive
arent excited though english tomorrow,negative
3 days since manicure done every single nail chipped ffs,negative
haha maybe take last final sometime tonight feel like fun morning,positive
cant wait think ill watch friday probably season finale number episodes reduced yet,negative
sucks jpeg design anywhere id love see youre rockin anyways,negative
lot mail mark quotreadquot haha,negative
morning vryonee eyes r still heavy want sleep mum,negative
bloody hungryhaving mi cuptpm yamtaste really goodor anything would taste good,negative
wrote 8000 words two days last week though imagine dissertation wont include fairys dreams etc like book,positive
everytime watch jimmy fallon let,negative
sat outside sun sister amp friend walk work boo shithole,negative
greets everyone good morning,positive
hot blonde girl isnt shallow likes,positive
36 hours take better start packing soon us come,negative
guys noticed raining people depressed really bored,negative
good morning still online chance,positive
im bored right,negative
others oohhh god onions anchovies mushrooms lollll,positive
wish everyone ps3 want xbox back,negative
put twitter thing myspace page imma show world seeing made smile,positive
must finally admit longer keep online social networking kind real life must trim,positive
really really hate biology u______________________u,negative
sooo tired waterpark wore,negative
es probable,negative
ahh yes andy lovely voice saw thing gig friday sadly performing night,positive
ive changed twitter username please find follow,positive
love followerss anyone else im tweety mood im late watching ncis,positive
feeling well,negative
ahha well yeah bad didnt turn time excepts late work suck,negative
even cut beforecould day get worse,negative
oh hey forgot answer basically bang,negative
lucky lucky girl hope hear stories tomorrow morning live life vicariously thru,positive
community news sometimes accept guest posts moment,positive
questions answers lolll,positive
bored outside pool probably,negative
reallyreally feeling great,positive
dennyshaving really late lunch,negative
seeing life go past wondering mines going everyones getting married iam,negative
wont two blocks away,negative
leave love tagboard,positive
woke ah last night nuts show nuts party nuts journey nuts,positive
went doctor confirmation people swine flu highfive,negative
okay thanks look find owl back yard,positive
watching movies,positive
